BUSINESS_SUB_GROUP_NM,PRODUCT_LINE_CD,PLATFORM_NM,MODEL_NM,PRODUCT_MODEL_NR,PART_DN,STD_PRICE_USD_AM,PART_NR,UNRESTRICTED_QT,EXTRACT_TS
OPS Printers,E0,,,JC69-03,BOX-MAIN,"5,8",JC69-03924A,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
HPS Printers,E4,,,JC69-03,BOX UNIT,"0,01",JC69-03895H,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
OPS Printers,E0,,,JC69-03,BOX-MAIN,"9,5",JC69-03889B,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
OPS Printers,ED,,,JC69-03,BOX-MAIN,"9,5",JC69-03889A,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
OPS Printers,ED,,,JC69-03,"BOX-MAIN M3375FD/SEE,CB,Offset2(DW,Offse","1,2",JC69-03883B,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
OPS Printers,ED,,,JC69-03,"BOX-MAIN SL-M3375FD,CB,Offset2(DW,Offset","1,2",JC69-03883A,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
HPS Printers,E4,,,JC69-03,BOX UNIT,"0,01",JC69-03834C,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
HPS Printers,E4,,,JC69-03,BOX-MAIN,"0,01",JC69-03834A,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
HPS Printers,E4,,,JC69-03,BOX UNIT,"0,01",JC69-03831C,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
OPS Printers,ED,,,JC69-03,BOX-MAIN,"10,5",JC69-03827A,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
HPS Printers,E4,,,JC69-03,"BOX UNIT-MAIN;SL-M3065FD/SEE,CB,Offset2(","0,01",JC69-03751Q,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
HPS Printers,E4,,,JC69-03,BOX UNIT,"0,01",JC69-03751L,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
HPS Printers,E4,,,JC69-03,BOX-MAIN,9,JC69-03751G,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
HPS Printers,E4,,,JC69-03,BOX-MAIN,11,JC69-03751C,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
OPS Printers,E0,,,JC69-03,BOX UNIT-DEVE,"1,8",JC69-03725P,50,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
OPS Printers,E0,,,JC69-03,"BOX-MAIN M4020NX,CB,0203(A1),DW2,FLEXO,4","7,2",JC69-03701A,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
HPS Printers,E4,,,JC69-03,BOX-MAIN,"0,01",JC69-03700B,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
HPS Printers,E4,,,JC69-03,BOX UNIT-MAIN,"7,8",JC69-03676W,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
HPS Printers,E4,,,JC69-03,BOX-MAIN,"0,01",JC69-03665A,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
HPS Printers,E4,,,JC69-03,BOX-MAIN,"0,01",JC69-03658A,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
HPS Printers,E4,,,JC69-03,"BOX-CKD ML-2160/XAZ,CB,Flexo1(SW,Flexo,Y","0,01",JC69-03628A,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
OPS Printers,F7,,,JC69-03,BOX-SCF,3,JC69-03520A,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
HPS Printers,E4,,,JC69-03,BOX-SCF,6,JC69-03488A,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
OPS Printers,E0,,,JC69-03,MASTER BOX-TONER MONO,"5,2",JC69-03480C,50,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
HPS Printers,E4,,,JC69-03,"BOX-MAIN SCX-8120ND,CB,Flexo4(DW,Flexo,Y","5,6",JC69-03470A,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
